Season,Team,Played,Won,Lost,Tie,Score Difference,Points
2018,Gujarat Fortune Giants,22,17,3,2,118,93
2018,U Mumba,22,15,5,2,189,86
2018,Dabang Delhi,22,11,9,2,-1,68
2018,Puneri Paltan,22,8,12,2,-45,52
2018,Jaipur Pink Panthers,22,6,13,3,-69,43
2018,Haryana Steelers,22,6,14,2,-91,42
2018,Bengaluru Bulls,22,13,7,2,104,78
2018,Bengal Warriors,22,12,8,2,2,69
2018,UP Yoddha,22,8,10,4,-45,57
2018,Patna Pirates,22,9,11,2,-10,55
2018,Telugu Titans,22,8,13,1,-55,51
2018,Tamil Thalaivas,22,5,13,4,-70,42
2017,Gujarat Fortune Giants,22,15,4,3,126,87
2017,Puneri Paltan,22,15,7,0,91,80
2017,Haryana Steelers,22,13,5,4,40,79
2017,U Mumba,22,10,12,0,-50,56
2017,Jaipur Pink Panthers,22,8,13,1,-91,51
2017,Dabang Delhi,22,5,16,1,-134,38
2017,Bengal Warriors,22,11,5,6,19,77
2017,Patna Pirates,22,10,7,5,60,71
2017,UP Yoddha,22,8,10,4,2,60
2017,Bengaluru Bulls,22,8,11,3,10,57
2017,Telugu Titans,22,7,12,3,-2,52
2017,Tamil Thalaivas,22,6,14,2,-71,46
2016,Patna Pirates,14,10,4,0,26,52
2016,Telugu Titans,14,8,4,2,52,50
2016,Jaipur Pink Panthers,14,8,5,1,25,47
2016,U Mumba,14,7,6,1,-19,42
2016,Puneri Paltan,14,6,6,2,24,42
2016,Bengaluru Bulls,14,5,8,1,-55,32
2016,Dabang Delhi,14,4,9,1,7,29
2016,Bengal Warriors,14,3,9,2,-60,26
2016,U Mumba,14,12,2,0,95,60
2016,Patna Pirates,14,10,2,2,104,58
2016,Puneri Paltan,14,7,4,3,92,48
2016,Bengal Warriors,14,9,5,0,26,47
2016,Telugu Titans,14,7,7,0,-10,38
2016,Jaipur Pink Panthers,14,4,8,2,-63,28
2016,Bengaluru Bulls,14,2,12,0,-102,14
2016,Dabang Delhi,14,1,12,1,-142,11
2015,U Mumba,14,12,2,0,40,60
2015,Telugu Titans,14,8,3,3,85,50
2015,Bengaluru Bulls,14,9,5,0,55,48
2015,Patna Pirates,14,7,6,1,-18,41
2015,Jaipur Pink Panthers,14,6,7,1,43,38
2015,Bengal Warriors,14,4,9,1,-63,27
2015,Dabang Delhi,14,4,9,1,-68,27
2015,Puneri Paltan,14,2,11,1,-74,21
2014,Jaipur Pink Panthers,14,10,3,1,100,54
2014,U Mumba,14,8,3,3,59,51
2014,Bengaluru Bulls,14,8,5,1,36,47
2014,Patna Pirates,14,7,5,2,18,45
2014,Telugu Titans,14,6,5,3,26,42
2014,Dabang Delhi,14,5,8,1,-27,32
2014,Bengal Warriors,14,4,9,1,-85,24
2014,Puneri Paltan,14,2,12,0,-127,17
2014,UP Yoddha,0,0,0,0,0,0
2014,Gujarat Fortune Giants,0,0,0,0,0,0
2014,Tamil Thalaivas,0,0,0,0,0,0
2014,Haryana Steelers,0,0,0,0,0,0
2015,UP Yoddha,0,0,0,0,0,0
2015,Gujarat Fortune Giants,0,0,0,0,0,0
2015,Tamil Thalaivas,0,0,0,0,0,0
2015,Haryana Steelers,0,0,0,0,0,0
2016,Gujarat Fortune Giants,0,0,0,0,0,0
2016,UP Yoddha,0,0,0,0,0,0
2016,Tamil Thalaivas,0,0,0,0,0,0
2016,Haryana Steelers,0,0,0,0,0,0
2016,Gujarat Fortune Giants,0,0,0,0,0,0
2016,UP Yoddha,0,0,0,0,0,0
2016,Tamil Thalaivas,0,0,0,0,0,0
2016,Haryana Steelers,0,0,0,0,0,0
